380795272,Krondor: The Betrayal,Raymond E. Feist,1998
1416949658,The Dark Is Rising,Susan Cooper,1973
1857231082,The Black Unicorn ,Terry Brooks,1987
553803700,"I, Robot",Isaac Asimov,1950
080213825X,Four Blondes,Candace Bushnell,2000
375913750,"Love, Stargirl",Jerry Spinelli,2007
074349671X,The Tenth Circle,Jodi Picoult,2006
743454553,Vanishing Acts,Jodi Picoult,2005
765317508,Aztec,Gary Jennings,1980
142501085,Marlfox,Brian Jacques,1998
1442468351,Lady Midnight,Cassandra Clare,2016
1439152802,The Secret Keeper,Kate Morton,2012
399153942,The Afghan,Frederick Forsyth,2006
441017835,A Touch of Dead,Charlaine Harris,2009
590554107,Daja's Book,Tamora Pierce,1998
1451648537,Steve Jobs,Walter Isaacson,2011
590396560,Cold Fire,Tamora Pierce,2002
000723368X,Thanks for the Memories,Cecelia Ahern,2008
803734735,Bitterblue,Kristin Cashore,2012
1592243002,Daisy Miller,Henry James,1878
055337849X,The Brothers K,David James Duncan,1992
61150142,The Pact,Jodi Picoult,1998
739328271,Plum Spooky,Janet Evanovich,2009
62076108,Twice Tempted ,Jeaniene Frost,2013
039925675X,Legend,Marie Lu,2011
1595543414,Thr3e,Ted Dekker,2003
446679097,The Lion's Game,Nelson DeMille,2000
385339607,The Rainmaker,John Grisham,1995
1250012570,Eleanor & Park,Rainbow Rowell,2013
786838655,The Lightning Thief,Rick Riordan,2005
440225450,The Final Detail,Harlan Coben,1999
743484355,A Cry in the Night,Mary Higgins Clark,1982
670016780,Half Bad,Sally Green,2014
140621733,Lady Windermere's Fan,Oscar Wilde,1893
61662763,The Awakening,Kelley Armstrong,2009
006117758X,Ham on Rye,Charles Bukowski,1982
1423102266,The Van Alen Legacy ,Melissa de la Cruz,2009
067056172X,A Pocket for Corduroy,Don Freeman,1978
385339097,The Street Lawyer,John Grisham,1998
413757102,Revolutionary Road,Richard Yates,1961
441569595,Neuromancer,William Gibson,1984
684833395,Catch-22,Joseph Heller,1961
1416950737,sTORI Telling,Tori Spelling,2008
140501827,The Snowy Day,Ezra Jack Keats,1962
99285444,Invisible Monsters,Chuck Palahniuk,1999
552555703,Noughts & Crosses,Malorie Blackman,2001
671047345,Separation of Power,Vince Flynn,2001
812995201,The Weight of Blood,Laura McHugh,2014
812995341,Lincoln in the Bardo,George Saunders,2017
553589377,Kiss of Midnight,Lara Adrian,2007
1476798176,Did You Ever Have a Family,Bill Clegg,2015
6640613,The Tiger Who Came to Tea,Judith Kerr,1968
395870828,Tuesday,David Wiesner,1991
1585678759,My Man Jeeves,P.G. Wodehouse,1919
425241130,Hit List,Laurell K. Hamilton,2011
743417321,Cabal,Clive Barker,1988
1598184318,The Sea Wolf,Jack London,1904
312571259,One Good Dog,Susan  Wilson,2010
345424646,A Knight of the Word ,Terry Brooks,1998
393062627,The Lonely Polygamist,Brady Udall,2010
312624670,Born at Midnight,C.C. Hunter,2011
451235843,Lover Reborn,J.R. Ward,2012
1400079497,The Plot Against America,Philip Roth,2004
1857988094,I Am Legend ,Richard Matheson,1954
1423121309,Hex Hall,Rachel Hawkins,2010
451169514,It,Stephen King,1986
61053562,The Player of Games,Iain M. Banks,1988
156949601,The Waves,Virginia Woolf,1931
446617792,The Angel Experiment,James Patterson,2005
60096187,Teen Idol,Meg Cabot,2004
345484088,Armageddon's Children,Terry Brooks,2006
345379063,Legend ,David Gemmell,1984
